ID;Question;AnswerOne;AnswerTwo;AnswerThree;AnswerFour;Correct;Argument
42;"Illumination of the amber BLEED TRIP OFF light indicates what valve has
automatically closed ?";Modulating shutoff valve;Related engine bleed air valve;Isolation valve;All the answers are correct;2;Air system
43;The rain removal system consist of:;"A permanent rain repellent coating on the windshields and
wipers";A bottled solutions located behind the Captain’s seat;"Rain repellent switches located on the forward overhead
panel";All the answers are correct;1;ANTI-ICE / RAIN
44;"On the Upper Display Unit, what does a TAI indication shown at the top left side
if each display indicate?";"If is amber; an over temperature condition exists in the
duct downstream of the engine cowl anti ice valve";"If it’s green; the cowl anti ice is closed and the related
engine anti-ice switch is OFF";"If it’s green; the cowl anti ice valve(s) is open";All the answers are correct;3;ANTI-ICE / RAIN
45;The window heat PWR TEST:;Must be tested before each flight;Test the L1 and R1 windows only;Verify operation of the window heat system;Can be used if all green window heat lights are on;3;ANTI-ICE / RAIN
46;"When are the ENG ANTI-ICE switches turned ON if icing conditions exist on the
ground?";When cleared into the runway;During the taxi;After takeoff;During the after engine start procedure;4;ANTI-ICE / RAIN
47;Which window(s) are heated with the LEFT FWD WINDOW HEAT switch ON?;L2, L3, L4, L5;L1, L2, L3;L1, L2, L3, L4, L5;L1 only;4;ANTI-ICE / RAIN
48;When do you use WING  ANTI-ICE?;"On the ground when icing conditions exist or are
anticipated";As a de-icer or anti-ice in flight;In flight, after ice accumulation;All the answers are correct;4;ANTI-ICE / RAIN
49;What is the maximum airspeed limit with a window OVERHEAT situation?;250 KIAS;280 KIAS;250 KIAS below 10000ft;280 KIAS below 10000ft;3;ANTI-ICE / RAIN
50;The R ELEV PITOT light is illuminated. What does this indicate?;The right elevator pitot probe is blocked;A malfunction in the pitot probe system;The right elevator pitot probe is not heated;The related probe is heated;3;ANTI-ICE / RAIN
51;"The windshield wipers maintain a clear area on the flight deck forward
windows. Which of following statements is correct?";Each wiper is operated by a separate control;"Windshields wipers are hydraulically operated and
electrically controlled";Windshields wipers may operated on a dry windshields;None of the answers are correct;1;ANTI-ICE / RAIN
52;How are alpha vanes heated?;"By actuating the LEFT or RIGHT FWD window heat
switches";Whenever wing anti ice is being used;Whenever the alternate static ports are heated;By actuating the A and B PROBE HEAT switches;4;ANTI-ICE / RAIN
53;Which pilot probes and sensors are not heated?;The ELEV PITOT probes;The static ports;The CAPT PITOT probe;The F/O PITOT probe;2;ANTI-ICE / RAIN
54;Each cowl anti-ice valve is:;"Automatically actuated by Ice Detection System when ice
is detected";Electrically controlled and pressure actuated;"Automatically closed when the thrust levers are in the
takeoff position";AC motor operated;2;ANTI-ICE / RAIN
55;The wing anti-ice system provides bleed air to:;All leading edge slats;Three inboard leading edge slats;All leading edge slats flaps;Three outboard leading edge slats;2;ANTI-ICE / RAIN
56;Illumination of amber COWL ANTI-ICE light indicates:;An overpressure condition;An over temperature  or overpressure condition;The related cowl anti-ice valve is open;"The cowl anti-ice valve position disagrees with the
respective engine anti ice switch position";1;ANTI-ICE / RAIN
57;After lift off, the A/T remains in THR HLD until:;400ft RA;800ft RA;400ft RA and 18sec after lift off;800ft RA and 18sec after lift off;2;Automatic flight
58;"When control wheel pressure is released during CWS roll operation, the A/P
rolls the wings level when the bank angle is:";5° or less;6° or less;10° or less;15° or less;2;Automatic flight
59;The Automatic Flight System (AFS) consists of:;None of the answers are correct;"The Control Display Unit (CDU) and Flight Management
Computer (FMC)";Two individual Flight Control Computer (FCC);"The Autopilot Flight Director System (AFDS) and the Auto
Throttle (A/T)";4;Automatic flight
60;In normal operation, what provides the A/T  system with N1 limit values?;The A/T computer;The AFDS;The FMC;The ADIRUs;3;Automatic flight
61;Which statement is true of the Auto Throttle (A/T)?;"The A/T moves the thrust levers with a separate servo
motor on each thrust lever";The A/T can be manually overridden;The A/T will reduce thrust toward idle at 27ft RA;All the answers are correct;4;Automatic flight
62;"During a dual autopilot ILS approach, at which Radio Altitude should the FLARE
mode engage?";300 ft;200 ft;150 ft;50 ft;4;Automatic flight
63;Which A/T mode permit manual thrust changes without  A/T interference?;GA and ARM;N1 and ARM;THR HLD and ARM;Only THR HLD;3;Automatic flight
64;Which mode must be armed before the second autopilot can be selected?;VNAV;VOR/LOC;APP;LNAV;3;Automatic flight
65;"Which of the following occurs when a TO/GA switch is pressed below 200ft
Radio Altitude during a single autopilot ILS approach?";The autopilot disengages;The A/T (if armed) engages in GA mode;"The A/T (if armed) advances the trust lever to a reduces
go-around N1";All the answers are correct;4;Automatic flight
66;"What pitch mode is annunciated after takeoff when the autopilot is first engages
in CMD?";CWS P;MCP SPD;VNAV;V/S;2;Automatic flight
67;"Which is the minimum Radio Altitude for engaging the second autopilot in CMD
during a dual channel A/P approach?";2000ft RA;1500ft RA;800ft RA;500ft RA;3;Automatic flight
68;VNAV is terminated by:;Selecting a different pitch mode;Capturing G/S;Reaching end of LNAV route;All the answers are correct;4;Automatic flight
69;"Level change climbs and descends while using the Automatic Flight System
(AFS) are made at airspeed displayed on:";The CDU;The MCP;The A/T computer;None of the answers are correct;2;Automatic flight
70;With VNAV engaged, the AFDS pitch and A/T modes are commanded by:;MCP;FMC;FCC;GPWS;2;Automatic flight
71;"If the pilot overrides the autopilot with control column force pitch input, which of
the following occurs immediately?";The autopilot engages in LNAV;LNAV engages;The autopilots changes to CWS P;LEVEL CHANGE annunciates on the FMA;3;Automatic flight
72;Minimum speed reversion in not available when:;The A/T is OFF and the AFDS is in ALT HOLD;The A/T is ON after GS capture;AFDS is in V/S mode;All the answers are correct;1;Automatic flight
73;The use of aileron trim with the autopilot engaged is:;Encouraged;Limited to 400ft AGL;Limited to 25kt headwind;Prohibited;4;Automatic flight
74;LNAV automatically disconnects when:;The HGD SEL mode is engaged;Upon VOR or localizer capture;Reaching a route discontinuity;All the answers are correct;4;Automatic flight
75;Which statement is true concerning the Cockpit Voice Recorder (CVR)?;Only one channel records flight deck area conversations using the area microphone;Recordings older than 60 minutes are automatically erased;The Cockpit Voice Recorder uses two independent channels to record flight deck audio for 1hr;Other channels are used for Audio Control Panel (headset) audio and transmission for the observers only;1;Communications
76;The Audio Control Panel (ACP) push-to-talk switch:;Has an I/C (intercom) position. This position keys the oxygen mask or boom microphone for transmission via the transmitter selector;Has an R/T (radio/transmit) position. This position keys the oxygen mask or boom microphone as selected by transmitter selector;Has an I/C (intercom) position. This position keys the oxygen mask or boom microphone for direct transmission over the flight interphone utilizing the transmitter selector;Has two position for Intercom and Radio-Telephone;2;Communications
77;"In the degraded mode, the audio system cannot access the passenger address system through the Audio Control Panel. What combinations for transmission
and reception at the degraded station.";Captain/VHF1, FO/VHF2, OBS/VHF2;Captain/VHF2, FO/VHF1, OBS/VHF1;Captain/VHF1, FO/VHF1, OBS/CHF1;Captain/VHF1, FO/VHF2, OBS/VHF1;4;Communications
78;The Flight Deck CALL light illuminated blue:;Simultaneously with a single high-tone chime;"Indicates that the flight deck is being called by Cabin
Attendants";"Indicates that the flight deck is being called by Ground
Crew";All the answers are correct;4;Communications
79;Altitude alert, Ground Proximity Warning System (GPWS) and windshear are:;Integral components of the flight mode alerting system;Audible through the audio panel in the degraded mode;"Not heard (audio warning) on an audio system operating i
the degraded mode";All the answers are correct;3;Communications
80;If the BUS TRANSFER switch is in the AUTO position and the source powering the TRANSFER BUS is disconnected or fails, the source powering the opposite TRANSFER BUS automatically picks up the empowered bus through the BTBs;True;False;;;1;Electrical
81;AC transfer busses:;Supply power to the 110 volts AC main busses;Can be powered by both external power and APU at the same time;Can be paralleling sources power;"Whenever external power is powering both busses and   the engine generator is applied to its onside transfer bus, external power continues to supply power to the remaining
transfer bus";4;Electrical
82;"In flight, one engine-driven generator drops offline and the BUS TRANSFER switch is in the AUTO position, what indications will the pilot see on the panel
failed side?";A TRANSFER BUS OFF light and a GEN OFF BUS light illuminate;SOURCE OFF and GEN OFF BUS are illuminated and the TRANSFER BUS OFF light remain extinguished;Illumination of the fuel pump, probe heat, and hydraulic pump lights;SOURCE OFF and GEN OFF BUS are illuminated and the TRANSFER BUS OFF light illuminated;2;Electrical
83;"Under which of the following conditions will the Cross Bus Tie Relay
automatically open isolating DC bus 1 from DC bus 2?";An engine driven generator drop offline;The BUS TRANSFER switch is position to OFF;"At the localizer capture, during a flight directory or
autopilot ILS approach";In-flight if an amber TR until light illuminates;2;Electrical
84;"With the STANDBY POWER switch in the AUTO position, the loss of all normal
AC power causes the battery to power the standby loads:";Only in flight;Only on the ground;Both in the air and on the ground;None of the answers are correct;3;Electrical
85;"AC amperage can be observed on the AC ammeter for the source selected by
the AC meters selector.";True;False;;;1;Electrical
86;The illumination of the amber BAT DISCHARGE light indicates:;The battery is being overcharged;"Excessive battery discharge is detected with the battery
switch ON";"Battery discharge when the DC meter is in the BAT
position with the battery switch ON";The battery is not being powered;2;Electrical
87;In flight an amber TR UNIT illuminates if:;Any TR unit fails;The cross bus tie relay opens;TR1 or TR2 and TR3 fails;TR1 and TR3 fails;3;Electrical
88;On the ground an amber ELEC light will illuminate if:;A fault exists in the AC or standby power system;"A fault exists in DC power system or standby power
system";A fault exists in the AC, DC or standby system;A fault exists in the AC power system;2;Electrical
89;"Illumination of the amber Generator Drive (DRIVE) light indicates low oil
pressure caused by which of the following?";IDG failure;"IDG disconnected through generator drive DISCONNECT
switch";IDG automatic disconnect due to high oil temperature;All the answers are correct;4;Electrical
90;Illumination of the blue GRD POWER AVAILABLE light indicates:;"Ground power is connected and meets aeroplane power
quality standards";"External ground power is connected, however no
aeroplane power quality is assured";"External ground power is connected and the AC GRD
SERVICE BUS 1 is automatically powered";"External ground is connected and both AC GRD SERVICE
BUSSES are automatically powered";1;Electrical
91;The SOURCE OFF light will illuminate:;"No source has been manually selected to power the
related transfer bus";The manually selected source has been disconnected;"Both transfer busses are being powered if a source has
been selected to power the opposite transfer bus";All the answers are correct;4;Electrical
92;Illumination on the GEN OFF BUS light indicates:;The related main bus is not powered;The related transfer bus is not powered;The IDG is not supplying power to the related transfer bus;The APU is running and not powering a bus;3;Electrical
93;The APU generator can meet the following conditions:;The APU bleed load maximum altitude is 17000ft;"The APU bleed and electrical load maximum altitude is
10000ft";The APU electrical maximum altitude is 41000ft;All the answers are correct;4;Electrical
94;"Illumination of the STANDBY PWR OFF light indicates one or more of the
following busses are unpowered:";The AC standby bus;The DC standby bus;The battery bus;All the answers are correct;4;Electrical
95;Both AC TRANSFER busses can be powered simultaneously by:;A single IDG on the ground or in flight;The APU generator while in flight or on the ground;The APU or external power;All the answers are correct;4;Electrical
96;When takeoff is made with the APU powering TRANSFER busses:;One TRANSFER bus will disconnect automatically after take-off;"If the APU is either shuts down or fails, the engine generators are automatically connected to their related
TRANSFER bus";The generator will not automatically come on line if the APU either shuts down or fails;Both TRANSFER busses will automatically disconnect after lift off;2;Electrical
97;"On the ground, with the Battery (BAT) switch OFF and the STANDBY POWER
switch in AUTO, the battery bus is:";Not powered;Powered by TR3;Powered by the Hot Battery Bus;Powered by the battery;1;Electrical
98;"The GRD PWR switch when momentarily moved to the ON position and ground
power is available:";"Removes previously connected power from DC transfer
busses";"Connects ground power from to AC Main busses if power
quality is correct";Disconnects ground power from AC TRANSFER busses;"Connects ground power to AC TRANSFER busses if
power quality is correct";4;Electrical
99;One basic principle of operation for the Boeing 737 electrical system is:;"All generator bus sources can be automatically connected
by the standby power system";There is no paralleling of AC sources of power;There is no paralleling of any power source;"An AC power source may be used in parallel with a DC
power source";2;Electrical
100;"With the BUS TRANSFER switch in AUTO, the cross bus tie relay automatically
opens under which of following conditions?";At localizer capture;"At glide slope capture during a flight directory or autopilot
ILS approach";When TR1 or TR2 fails;"When AC volts meter reaches 26 volts (plus or minus 4
volts)";2;Electrical
101;When the STANDBY POWER switch is OFF:;The STANDBY PWR OFF light will be illuminated;"The AC standby bus, static inverter and DC standby bus
are powered";"The AC standby bus is powered by the battery through
the static inverter";"The static inverter provides 28 volts DC power to transfer
bus No.1";1;Electrical
102;The 115 volts AC standby bus is powered  by:;"The 115 volts AC TRANSFER bus No.1 under normal
conditions";"Any source if the AC source powering either transfer bus
fails or is disconnected";"The battery through the static invert with a failure of both
engine driven generators";All the answers are correct;4;Electrical
103;"The cross bus tie relay automatically opens at glide slope capture during a fligh
director or autopilot ILS approach to:";"Prevent a single bus failure from affecting both navigation
receivers and flight control computers";Provide more power to the DC standby bus;Ensure that the standby DC bus is powered;Isolate DC bus 1 from bus 2;1;Electrical
104;The engine Integrated Drive Generator ( IDG):;Is three phases, 115 volts, 400 cycle direct current;"Adjusts varying generator speeds throughout normal
range of operation";"Maintains a constant generator speed throughout the
normal operating range of the engine";Cannot be electro-mechanically disconnected;3;Electrical
105;DC busses powered from the battery following a loss of both generators are:;Switched hot battery bus;Battery bus and hot battery bus;DC standby bus;All the answers are correct;4;Electrical
106;"With the STANDBY POWER switch in the AUTO position, automatic switching
from normal to alternate power occurs if:";Power from either AC  transfer bus 1 or DC bus 1 is lost;"Either AC TRANSFER bus 1 or the power source for DC
bus 2 loses power";Loss of the power to either AC main bus;Failure of TR1 or TR2 and TR3;1;Electrical
107;If engine oil pressure is in the amber band with takeoff thrust set:;No action is necessary;Continuously monitor oil temperature;"Reduce thrust after takeoff to maintain acceptable oil
temperature";DO NOT TAKE OFF;4;Engines / APU
108;"What is the position of the engine bleed air switches during the shutdown
procedure?";ON;AUTO;OFF;HIGH;1;Engines / APU
109;What are the indications on B737-800 that the engine starter has disengaged?;The fuel LOW PRESSURE lights extinguish at 56% N1;"The ENGINE START switch return to OFF at 56% N2 and
the START VALVE OPEN alert extinguish";The ENGINE START switch returns to OFF at 36% N2;"The ENGINE START switch rotates to FLT, N1 goes to
17-20% and N2 RPM stabilize";2;Engines / APU
110;"The amber DUAL BLEED light is illuminated after engine start.
What Crew actions?";Limit engine thrust to idle while the light is illuminated;Place the APU BLEED AIR switch to OFF;Pull the engine fire handles;"Limit engine thrust to idle and/or place the APU BLEED Ai
switch to OFF";4;Engines / APU
111;Which hydraulic system during normal operation powers the thrust reversers?;System A;System B;System A for engine N°1 and system B for engine N°2;The standby system;3;Engines / APU
112;The thrust reverser  may be deployed:;During cruise when the thrust lever is at idle;When either radio altimeter senses less than 10ft altitude;When air/ground safety sensor is in the ground mode;When either radio altimeter senseless than 10ft altitude or when the air/ground safety sensor is in the ground mode;4;Engines / APU
113;"Which APU annunciator light is not associated with an automatic shutdown of
the APU?";LOW OIL PRESSURE;MAINT;FAULT;OVERSPEED;2;Engines / APU
114;An APU shutdown in flight occurs:;Automatically by moving the battery switch to OFF;Only by exceedance;With a LOW FUEL alert in the N°1 tank;When the MAINT annunciator light illuminates;1;Engines / APU
115;"The APU may be used as an electrical and bleed air source simultaneously up
to:";10000FT;17000FT;25000FT;30000FT;1;Engines / APU
116;Engine EEC abnormal start protection:;"Requires that hydraulic system B must be pressurized
prior to start";There is no abnormal start protection;Is provided for EGT protection on the ground only;"Is provided for EGT protection both in flight and on the
ground";3;Engines / APU
117;If upper DU fails:;Engine indications automatically shift to lower DU;Display of all engine indications are lost;Engine indications automatically shift to either inboard DU;"N1 and N2 indications are not displayed, manually
selected either inboard DU";1;Engines / APU
118;"When the ECC is not powered the following indications are displayed directly
from the engine sensor:";Fuel flow and oil pressure;Oil temperature and engine vibration;N1, N2, oil quantity and engine vibration;Oil temperature, pressure and quantity indications;3;Engines / APU
119;During start, when the EEC is not powered:;"Only oil quantity and engine vibration  are available before
placing the ENGINE START switch to GND";"Only N1, N2, oil quantity and engine vibration are available
and are displayed from engine sensor";"The EEC is not powered until the engine accelerates to a
speed greater then 15% N2";Only digital readouts are visible for engine indications;2;Engines / APU
120;The EEC hard alternate mode thrust is:;"Always equal to or greater than normal mode thrust for
the same lever position";Not approved for use;"Always less than normal mode thrust for the same lever
position";"Used only for assumed temperature reduction takeoffs
and go-around";1;Engines / APU
121;The EEC provides redline over-speed protection for:;N1 only, both in the normal and alternate modes;N2 only, both in the normal and alternate modes;N1 and N2 in the normal mode only;N1 and N2 in both the normal and alternate modes;4;Engines / APU
122;"What position must be the forward thrust levers before reverser thrust can be
selected?";T/O position thrust position;Continuous thrust position;Idle thrust position;Any forward thrust position;3;Engines / APU
123;The EEC automatically selects approach idle in flight anytime:;The aeroplane descends below 15000ft MSL;"The flaps are in the landing configuration or ENGINE
START switches are placed to CONT or FLT";"The flaps are in the landing configuration and thrust lever
angle is above 34 degrees either engine";"The flaps are in the landing configuration or engine anti-ic
is ON for either engine";4;Engines / APU
124;The APU starts and operates up to:;17000ft;35000ft;37000ft;41000ft;4;Engines / APU
125;Regarding the APU, both transfer busses can be powered:;On the ground only;In-flight only;On the ground or in-flight;"None of the answers are correct, only one transfer bus at
a time can be powered";3;Engines / APU
126;The APU supplies bleed air for both air conditioning packs:;On the ground only;In the air only;On the ground and in the air;"The APU should never be used as a bleed air source for
both air conditioning packs";1;Engines / APU
127;APU cooling air:;Enters through the air inlet door;Enters through the ram air door;"Enters through a cooling air inlet above the APU exhaust
outlet";Is supplied by the air conditioning packs;3;Engines / APU
128;Electrical power to start the APU comes from:;DC ground power receptacle;Either AC transfer bus;Number 1 galley bus;Number 1 transfer bus or aeroplane main battery;4;Engines / APU
129;"With AC power available, the starter generator uses AC power to start the
APU, without AC power available, the starter generator uses battery power to start the APU";True;False;;;1;Engines / APU
130;The APU start cycle may takes as long as:;90 sec;120 sec;135 sec;60 sec;2;Engines / APU
131;The APU electronic control unit (ECU) provides automatic:;"Shut down protection for overspeed conditions, low oil
pressure and high oil temperature";"Shut down protection for APU fire, fuel control unit failure
and EGT exceedance";"Automatic control of APU speed through the electronic fue
control";All the answers are correct;4;Engines / APU
132;If the APU is the only source of electrical power:;In flight, the galley busses are automatically shed;In flight, the APU attempts to carry the full electrical load;On the ground, the galley busses are automatically shed;"On the ground, the main busses are shed first if an
overload condition is sensed";1;Engines / APU
133;"If wet start is detected, the EEC turns off the ignition and shuts off fuel to the
engine";15sec after the start valve opens during ground start;"15sec after the start lever is moved to IDLE during ground
starts";"10sec on the ground or 30sec in flight after the start lever
is moved to idle";There is no wet start protection;2;Engines / APU
134;Regarding the APU, moving the battery switch to OFF:;"Automatically shuts down the APU because of power loss
to the electric control unit";Does not affect the APU, it has its own power source;Shuts down the APU after 2min;Shuts down the APU after a delay of 3min;1;Engines / APU
135;Moving the APU switch to OFF:;Trips the APU generator;Closes the APU bleed air valve;Extinguishes the APU GEN OFF BUS lights;All the answers are correct;4;Engines / APU
136;On B737-800, starter cutout speed is:;25 % N2;46% N2;Approximately 50% N1;Approximately 56% N2;4;Engines / APU
137;Pulling the Engine Fire Warning Switch up:;"Closes both engine fuel shutoff valve and the spar fuel
shutoff valve";"Deactivates related engine driven hydraulic pump LOW
PRESS light";"Closes the hydraulic fluid shutoff valve and disables the
thrust reverser for the related engine";All the answers are correct;4;Fire protection
138;"Some of the indications for an engine fire are: MASTER CAUTION lights, ENG OVERHEAT light, MASTER FIRE WARN lights.
What are other indications?";The fire warning bell sounds;The engine fire warning switch illuminates;The OVHT/DET system annunciator light illuminates;All the answers are correct;4;Fire protection
139;Fire extinguisher provides a mean of extinguishing:;Engine, APU, Wheel Well and lavatory fires;APU, Wheel Well and Cargo compartment fires;Engine and APU fires only;Engine, APU, Lavatories and Cargo Compartments fires;4;Fire protection
140;Illumination of the APU DET INOP light indicates:;Caution when starting the APU;APU will fail to start;No fire protection, DO NOT start the APU;APU is not installed;3;Fire protection
